# PulseTrace recording
# session_id: 2026-05-10T13-41-50
# device: OnePlus CPH2449 (Android 36)
# started_at: 1778413310432
timestamp_ns,red,luma,coverage
5904683026912,178.160,69.758,1.0000
5904745438110,178.156,69.765,1.0000
5904751794464,178.098,69.728,1.0000
5904764536652,178.069,69.732,1.0000
5904782681652,178.040,69.689,1.0000
5904850564100,178.004,69.666,1.0000
5904852352381,178.008,69.672,1.0000
5904864970766,178.007,69.661,1.0000
5904884193110,178.004,69.645,1.0000
5904910455923,178.015,69.631,1.0000
5904923314100,177.988,69.619,1.0000
5904945037693,177.985,69.620,1.0000
5904961350662,177.956,69.594,1.0000
5904975059048,177.926,69.556,1.0000
5904993233735,177.852,69.538,1.0000
5905015581443,177.774,69.516,1.0000
5905043499464,177.708,69.499,1.0000
5905069580037,177.671,69.482,1.0000
5905084549360,177.647,69.462,1.0000
5905110666912,177.606,69.450,1.0000
5905149707589,177.543,69.435,1.0000
5905165773110,177.531,69.354,1.0000
5905189322381,177.481,69.322,1.0000
5905212893735,177.485,69.304,1.0000
5905242978527,177.474,69.307,1.0000
5905251163475,177.460,69.310,1.0000
5905282368110,177.438,69.270,1.0000
5905291567485,177.408,69.244,1.0000
5905313618162,177.395,69.221,1.0000
5905332513318,177.393,69.224,1.0000
5905351332433,177.384,69.215,1.0000
5905368897068,177.394,69.222,1.0000
5905386474099,177.355,69.179,1.0000
5905414364620,177.330,69.181,1.0000
5905433925141,177.321,69.165,1.0000
5905451801027,177.315,69.144,1.0000
5905467467745,177.311,69.143,1.0000
5905487282120,177.304,69.125,1.0000
5905514731547,177.272,69.105,1.0000
5905535927797,177.260,69.120,1.0000
5905546864881,177.288,69.130,1.0000
5905562342693,177.232,69.094,1.0000
5905583009568,177.222,69.089,1.0000
5905613774204,177.210,69.066,1.0000
5905635237381,177.209,69.030,1.0000
5905663981287,177.175,69.020,1.0000
5905680470141,177.166,69.019,1.0000
5905697320714,177.153,69.018,1.0000
5905720491131,177.145,69.001,1.0000
5905745649412,177.110,68.984,1.0000
5905778521131,177.123,68.973,1.0000
5905782312068,177.148,68.973,1.0000
5905798347641,177.112,68.938,1.0000
5905817922120,177.088,68.905,1.0000
5905850737276,177.075,68.894,1.0000
5905861989047,177.068,68.846,1.0000
5905887838787,177.005,68.813,1.0000
5905915387068,176.948,68.794,1.0000
5905920879776,176.888,68.782,1.0000
5905943893006,176.835,68.750,1.0000
5905960815401,176.781,68.703,1.0000
5905995469620,176.680,68.682,1.0000
5906027733162,176.650,68.658,1.0000
5906039166339,176.640,68.655,1.0000
5906045990141,176.651,68.679,1.0000
5906119904985,176.487,68.628,1.0000
5906122891026,176.537,68.649,1.0000
5906154444412,176.554,68.682,1.0000
5906175981651,176.536,68.695,1.0000
5906196325037,176.552,68.730,1.0000
5906215360558,176.560,68.751,1.0000
5906231510297,176.667,68.802,1.0000
5906268261703,176.680,68.821,1.0000
5906287025089,176.682,68.856,1.0000
5906301343057,176.669,68.891,1.0000
5906310491703,176.655,68.940,1.0000
5906354065610,176.660,68.940,1.0000
5906371113682,176.646,68.964,1.0000
5906395940974,176.640,68.958,1.0000
5906407229360,176.656,68.959,1.0000
5906453547589,176.663,68.979,1.0000
5906467772484,176.663,69.017,1.0000
5906478520349,176.669,69.016,1.0000
5906500159255,176.664,69.021,1.0000
5906516256182,176.643,69.015,1.0000
5906532261234,176.580,68.991,1.0000
5906542487953,176.540,68.959,1.0000
5906574642120,176.521,68.922,1.0000
5906602308005,176.486,68.897,1.0000
5906604307328,176.491,68.908,1.0000
5906632930349,176.479,68.874,1.0000
5906644153682,176.486,68.864,1.0000
5906683111859,176.469,68.863,1.0000
5906702597068,176.462,68.864,1.0000
5906718686755,176.433,68.866,1.0000
5906735860349,176.435,68.866,1.0000
5906766035974,176.437,68.855,1.0000
5906780352953,176.408,68.833,1.0000
5906803130193,176.326,68.802,1.0000
5906815975766,176.250,68.754,1.0000
5906838109984,176.187,68.715,1.0000
5906856898474,176.112,68.691,1.0000
5906885264307,175.855,68.579,1.0000
5906894678266,175.810,68.561,1.0000
5906905838630,175.783,68.545,1.0000
5906936506026,175.769,68.545,1.0000
5906947872224,175.735,68.513,1.0000
5906966812380,175.728,68.523,1.0000
5906996789099,175.692,68.489,1.0000
5907030948786,175.666,68.481,1.0000
5907074987068,175.626,68.456,1.0000
5907099353266,175.585,68.437,1.0000
5907102413943,175.608,68.430,1.0000
5907126820765,175.600,68.414,1.0000
5907137985818,175.608,68.427,1.0000
5907154340661,175.610,68.410,1.0000
5907207294776,175.607,68.431,1.0000
5907211949047,175.594,68.414,1.0000
5907233833578,175.567,68.390,1.0000
5907246338943,175.548,68.376,1.0000
5907267373578,175.540,68.352,1.0000
5907300506963,175.541,68.368,1.0000
5907310126755,175.528,68.370,1.0000
5907330349724,175.548,68.375,1.0000
5907347319620,175.513,68.363,1.0000
5907369835349,175.518,68.352,1.0000
5907387268942,175.524,68.369,1.0000
5907429299880,175.549,68.380,1.0000
5907431560453,175.569,68.386,1.0000
5907437440036,175.567,68.391,1.0000
5907466415922,175.574,68.399,1.0000
5907500147640,175.561,68.416,1.0000
5907505026390,175.574,68.426,1.0000
5907519633474,175.564,68.438,1.0000
5907571882015,175.544,68.423,1.0000
5907585185922,175.556,68.455,1.0000
5907601068630,175.551,68.455,1.0000
5907629185765,175.546,68.453,1.0000
5907656651755,175.520,68.414,1.0000
5907675685036,175.498,68.404,1.0000
5907683100922,175.513,68.395,1.0000
5907700381130,175.493,68.399,1.0000
5907723335817,175.495,68.383,1.0000
5907780810869,175.490,68.353,1.0000
5907799404984,175.457,68.323,1.0000
5907819415453,175.394,68.300,1.0000
5907826093890,175.379,68.290,1.0000
5907846345974,175.344,68.283,1.0000
5907887905765,175.201,68.181,1.0000
5907912306182,175.105,68.137,1.0000
5907932831963,175.062,68.107,1.0000
5907951236338,175.027,68.083,1.0000
5907968950401,174.991,68.078,1.0000
5907987839619,174.959,68.061,1.0000
5908005118578,174.970,68.071,1.0000
5908029032953,174.949,68.077,1.0000
5908049005921,174.928,68.065,1.0000
5908067313057,174.844,68.025,1.0000
5908102638109,174.816,68.018,1.0000
5908107039098,174.819,68.022,1.0000
5908129388786,174.816,68.028,1.0000
5908149213473,174.831,68.024,1.0000
5908167531234,174.798,68.031,1.0000
5908190473057,174.814,68.035,1.0000
5908211071078,174.807,68.018,1.0000
5908232886963,174.752,67.977,1.0000
5908264757275,174.733,67.969,1.0000
5908282178421,174.731,67.972,1.0000
5908305316078,174.738,67.976,1.0000
5908323448786,174.725,67.987,1.0000
5908339379098,174.718,67.985,1.0000
5908362206442,174.723,67.984,1.0000
5908386187223,174.741,67.983,1.0000
5908402415036,174.720,67.966,1.0000
5908424430609,174.718,67.962,1.0000
5908445563109,174.706,67.968,1.0000
5908463525817,174.718,67.964,1.0000
5908483011702,174.728,67.953,1.0000
5908501825296,174.719,67.963,1.0000
5908517073786,174.736,67.962,1.0000
5908537237744,174.731,67.952,1.0000
5908569802900,174.711,67.962,1.0000
5908579673682,174.707,67.948,1.0000
5908594019671,174.712,67.956,1.0000
5908615803838,174.703,67.938,1.0000
5908640938004,174.697,67.927,1.0000
5908655955713,174.674,67.936,1.0000
5908707709984,174.696,67.959,1.0000
5908721485869,174.708,67.932,1.0000
5908738189827,174.681,67.953,1.0000
5908769684879,174.674,67.962,1.0000
5908787572536,174.684,67.924,1.0000
5908814696338,174.678,67.932,1.0000
5908834820661,174.703,67.932,1.0000
5908849926702,174.715,67.956,1.0000
5908876605348,174.699,67.963,1.0000
5908902537015,174.695,67.974,1.0000
5908914220609,174.628,67.929,1.0000
5908936651442,174.634,67.928,1.0000
5908952147431,174.631,67.931,1.0000
5908974765713,174.617,67.904,1.0000
5908992277431,174.614,67.902,1.0000
5909017187431,174.580,67.864,1.0000
5909045114619,174.520,67.842,1.0000
5909060845973,174.447,67.795,1.0000
5909067961546,174.360,67.766,1.0000
5909088729202,174.300,67.743,1.0000
5909109891754,174.233,67.736,1.0000
5909123872327,174.215,67.736,1.0000
5909142882275,174.210,67.727,1.0000
5909171476598,174.183,67.700,1.0000
5909183545452,174.183,67.705,1.0000
5909203570817,174.157,67.713,1.0000
5909224559411,174.126,67.701,1.0000
5909253818890,174.082,67.687,1.0000
5909276916598,174.072,67.680,1.0000
5909293052588,174.073,67.675,1.0000
5909305834619,174.059,67.663,1.0000
5909326113004,174.063,67.653,1.0000
5909366459723,174.028,67.621,1.0000
5909384168681,174.015,67.593,1.0000
5909400562744,173.992,67.592,1.0000
5909421651546,174.000,67.600,1.0000
5909438383369,173.996,67.607,1.0000
5909459621442,173.981,67.616,1.0000
5909479778108,173.990,67.613,1.0000
5909500269775,173.998,67.618,1.0000
5909524450244,173.963,67.602,1.0000
5909539001233,173.939,67.600,1.0000
5909554679879,173.951,67.608,1.0000
5909573967535,173.961,67.609,1.0000
5909590953681,173.961,67.605,1.0000
5909617673317,173.943,67.604,1.0000
5909634247067,173.943,67.596,1.0000
5909654988056,173.915,67.590,1.0000
5909675136337,173.894,67.590,1.0000
5909694809827,173.894,67.580,1.0000
5909717647067,173.868,67.569,1.0000
5909741275556,173.897,67.570,1.0000
5909755870035,173.877,67.550,1.0000
5909785578942,173.836,67.547,1.0000
5909801302327,173.837,67.529,1.0000
5909823712744,173.849,67.526,1.0000
5909835135452,173.823,67.524,1.0000
5909866685087,173.809,67.524,1.0000
5909915203421,173.771,67.471,1.0000
5909932217275,173.779,67.441,1.0000
5909949525400,173.784,67.424,1.0000
5909971706129,173.788,67.429,1.0000
5909989838421,173.765,67.413,1.0000
5910021716181,173.686,67.350,1.0000
5910046526806,173.615,67.300,1.0000
5910053688369,173.538,67.231,1.0000
5910069796494,173.461,67.186,1.0000
5910087058056,173.441,67.164,1.0000
5910107493004,173.390,67.130,1.0000
5910129836441,173.360,67.123,1.0000
5910165430816,173.319,67.077,1.0000
5910183252952,173.307,67.081,1.0000
5910201290400,173.274,67.062,1.0000
5910232115296,173.249,67.055,1.0000
5910242121546,173.235,67.064,1.0000
5910275158733,173.222,67.056,1.0000
5910285895556,173.207,67.060,1.0000
5910302704358,173.211,67.037,1.0000
5910323892275,173.204,67.033,1.0000
5910342809410,173.181,67.025,1.0000
5910374336858,173.171,67.016,1.0000
5910386926806,173.193,67.021,1.0000
5910417483420,173.183,67.023,1.0000
5910434437795,173.178,67.025,1.0000
5910456069514,173.186,67.029,1.0000
5910473311285,173.181,67.039,1.0000
5910501795660,173.169,67.048,1.0000
5910516829931,173.196,67.060,1.0000
5910536634410,173.197,67.050,1.0000
5910555473837,173.176,67.036,1.0000
5910575464618,173.142,67.026,1.0000
5910595896389,173.154,67.033,1.0000
5910622896702,173.111,67.026,1.0000
5910636958889,173.088,67.018,1.0000
5910651008629,173.082,67.015,1.0000
5910670786441,173.049,66.985,1.0000
5910690554775,173.043,66.984,1.0000
5910710869254,173.057,66.980,1.0000
5910737474097,173.050,66.965,1.0000
5910758584514,173.052,66.964,1.0000
5910770187275,172.845,66.900,1.0000
5910789035868,172.849,66.916,1.0000
5910812632743,172.974,66.952,1.0000
5910835781233,172.961,66.954,1.0000
5910857499514,173.050,66.978,1.0000
5910872568941,173.040,66.957,1.0000
5910890466597,173.072,66.984,1.0000
5910914008993,173.088,66.981,1.0000
5910948304566,173.067,66.969,1.0000
5910968719670,173.015,66.942,1.0000
5910989270660,172.937,66.897,1.0000
5911003810087,172.878,66.870,1.0000
5911019611129,172.636,66.789,1.0000
5911039687274,172.636,66.799,1.0000
5911069398733,172.566,66.806,1.0000
5911082945035,172.563,66.804,1.0000
5911103569201,172.538,66.782,1.0000
5911119739045,172.507,66.772,1.0000
5911136574306,172.495,66.750,1.0000
5911160663472,172.492,66.772,1.0000
5911191167431,172.480,66.773,1.0000
5911203248941,172.495,66.777,1.0000
5911232656493,172.518,66.797,1.0000
5911242603993,172.513,66.811,1.0000
5911271035295,172.483,66.779,1.0000
5911287223108,172.439,66.760,1.0000
5911318472222,172.446,66.739,1.0000
5911326084253,172.457,66.747,1.0000
5911351933212,172.460,66.765,1.0000
5911369419514,172.451,66.769,1.0000
5911378138003,172.465,66.783,1.0000
5911403080816,172.487,66.794,1.0000
5911421608472,172.457,66.795,1.0000
5911438851233,172.491,66.810,1.0000
5911469375660,172.496,66.809,1.0000
5911487343316,172.491,66.828,1.0000
5911506262430,172.489,66.845,1.0000
5911525684930,172.485,66.859,1.0000
5911557303837,172.482,66.853,1.0000
5911572231597,172.481,66.865,1.0000
5911619662378,172.503,66.882,1.0000
5911627862639,172.481,66.890,1.0000
5911653161701,172.495,66.899,1.0000
5911682969201,172.483,66.892,1.0000
5911710071962,172.462,66.854,1.0000
5911717201493,172.462,66.856,1.0000
5911740180660,172.446,66.854,1.0000
5911767275868,172.463,66.876,1.0000
5911778778368,172.461,66.895,1.0000
5911791846180,172.493,66.915,1.0000
5911816919514,172.504,66.936,1.0000
5911848882587,172.476,66.927,1.0000
5911863344149,172.480,66.915,1.0000
5911884620764,172.751,67.025,1.0000
5911904375660,172.782,67.059,1.0000
5911910501909,172.529,67.005,1.0000
5911957486701,172.519,66.998,1.0000
5911969893212,172.753,67.075,1.0000
5911987215607,172.736,67.075,1.0000
5912007336389,172.750,67.089,1.0000
5912040200191,172.710,67.060,1.0000
5912061250816,172.628,67.041,1.0000
5912064109930,172.575,67.013,1.0000
5912091664670,172.488,66.973,1.0000
5912103302430,172.465,66.967,1.0000
5912125826857,172.166,66.883,1.0000
5912155369357,172.166,66.876,1.0000
5912186031128,172.133,66.878,1.0000
5912195213836,172.108,66.866,1.0000
5912217627847,172.089,66.861,1.0000
5912240581701,172.075,66.858,1.0000
5912281294514,172.075,66.856,1.0000
5912289134930,172.058,66.845,1.0000
5912304800399,172.042,66.844,1.0000
5912342330139,172.019,66.819,1.0000
5912345785086,172.019,66.823,1.0000
5912361555816,172.007,66.810,1.0000
5912384341180,172.017,66.823,1.0000
5912394525555,172.003,66.804,1.0000
5912418078576,172.009,66.810,1.0000
5912459206232,171.986,66.810,1.0000
5912475347378,172.015,66.821,1.0000
5912497841180,172.023,66.835,1.0000
5912518278159,172.021,66.852,1.0000
5912547953472,172.007,66.827,1.0000
5912577922847,171.994,66.813,1.0000
5912589580243,172.006,66.823,1.0000
5912608253263,172.019,66.826,1.0000
5912627147743,172.030,66.825,1.0000
5912657004878,172.049,66.841,1.0000
5912675925243,172.071,66.854,1.0000
5912699245138,172.068,66.864,1.0000
5912719767638,172.051,66.850,1.0000
5912722852534,172.050,66.866,1.0000
