# PulseTrace recording
# session_id: 2026-05-10T03-06-56
# device: OnePlus CPH2449 (Android 36)
# started_at: 1778375216678
timestamp_ns,red,luma,coverage
19535951982858,149.325,50.887,1.0000
19535964779576,149.342,50.900,1.0000
19535987009785,149.483,50.948,1.0000
19536049390254,149.636,50.995,1.0000
19536061312337,149.805,51.048,1.0000
19536086997754,149.979,51.105,1.0000
19536126988014,150.131,51.163,1.0000
19536148313951,150.271,51.215,1.0000
19536196531451,150.412,51.271,1.0000
19536226397701,150.536,51.330,1.0000
19536250934472,150.648,51.379,1.0000
19536293265201,150.781,51.434,1.0000
19536323094420,150.885,51.472,1.0000
19536359003795,151.000,51.529,1.0000
19536394864733,151.135,51.567,1.0000
19536422590097,151.288,51.619,1.0000
19536461365045,151.445,51.672,1.0000
19536498060305,151.573,51.718,1.0000
19536522244889,151.561,51.716,1.0000
19536555398535,151.166,51.580,1.0000
19536595724576,150.735,51.435,1.0000
19536634599003,150.163,51.208,1.0000
19536667384003,149.482,50.944,1.0000
19536686252441,149.148,50.834,1.0000
19536718944212,148.951,50.776,1.0000
19536768626503,148.820,50.740,1.0000
19536790187337,148.734,50.714,1.0000
19536822209159,148.725,50.713,1.0000
19536868476139,148.754,50.721,1.0000
19536891003691,148.751,50.719,1.0000
19536926947232,148.717,50.709,1.0000
19536978892753,148.718,50.709,1.0000
19536997261868,148.769,50.724,1.0000
19537028610461,148.866,50.753,1.0000
19537066719159,149.003,50.806,1.0000
19537088541972,149.126,50.848,1.0000
19537134982961,149.285,50.893,1.0000
19537169587805,149.414,50.934,1.0000
19537198473899,149.535,50.979,1.0000
19537241014941,149.643,51.010,1.0000
19537272995930,149.717,51.049,1.0000
19537298162388,149.855,51.089,1.0000
19537326905305,149.932,51.126,1.0000
19537358424211,150.055,51.169,1.0000
19537404425149,150.204,51.217,1.0000
19537436117753,150.308,51.261,1.0000
19537462017493,150.435,51.308,1.0000
19537510739576,150.556,51.356,1.0000
19537538219784,150.703,51.415,1.0000
19537564896243,150.796,51.446,1.0000
19537608363847,150.661,51.407,1.0000
19537635733743,150.426,51.316,1.0000
19537659574732,149.865,51.097,1.0000
19537694294315,149.011,50.801,1.0000
19537726836711,148.545,50.638,1.0000
19537766527232,148.285,50.542,1.0000
19537793358065,148.040,50.450,1.0000
19537830157597,147.854,50.378,1.0000
19537879113326,147.738,50.334,1.0000
19537896830722,147.742,50.324,1.0000
19537933142492,147.767,50.334,1.0000
19537968410044,147.760,50.323,1.0000
19538001156867,147.711,50.311,1.0000
19538035587180,147.727,50.320,1.0000
19538087763742,147.820,50.350,1.0000
19538112171190,147.936,50.396,1.0000
19538139128794,148.066,50.453,1.0000
19538165190982,148.210,50.503,1.0000
19538194578899,148.367,50.559,1.0000
19538237547336,148.490,50.619,1.0000
19538270634211,148.637,50.677,1.0000
19538304149524,148.745,50.714,1.0000
19538344259003,148.844,50.751,1.0000
19538369896398,148.995,50.801,1.0000
19538402740930,149.114,50.854,1.0000
19538451916659,149.236,50.892,1.0000
19538467710773,149.390,50.938,1.0000
19538510986815,149.586,50.994,1.0000
19538543941659,149.746,51.061,1.0000
19538581009211,149.873,51.106,1.0000
19538612549888,150.008,51.154,1.0000
19538646241086,150.141,51.201,1.0000
19538667029836,150.173,51.215,1.0000
19538703392440,149.873,51.123,1.0000
19538733359367,149.527,51.000,1.0000
19538759331555,148.938,50.799,1.0000
19538800523065,148.252,50.551,1.0000
19538835628638,147.977,50.444,1.0000
19538876970096,147.853,50.388,1.0000
19538908809055,147.779,50.364,1.0000
19538935472180,147.750,50.351,1.0000
19538978204315,147.790,50.360,1.0000
19539008943846,147.868,50.376,1.0000
19539044162023,147.897,50.393,1.0000
19539079601711,147.877,50.390,1.0000
19539108630773,147.881,50.397,1.0000
19539139106190,147.970,50.434,1.0000
19539180212596,148.053,50.473,1.0000
19539209658586,148.215,50.526,1.0000
19539251574002,148.324,50.563,1.0000
19539274784367,148.465,50.626,1.0000
19539308689367,148.603,50.677,1.0000
19539349022492,148.737,50.736,1.0000
19539375309106,148.867,50.782,1.0000
19539407772804,149.004,50.831,1.0000
19539442418742,149.153,50.881,1.0000
19539476806606,149.265,50.917,1.0000
19539494713690,149.416,50.964,1.0000
19539543208950,149.584,51.022,1.0000
19539576579836,149.739,51.080,1.0000
19539618473377,149.913,51.126,1.0000
19539642114731,150.027,51.168,1.0000
19539676202804,150.165,51.226,1.0000
19539720906033,150.207,51.245,1.0000
19539749096710,149.964,51.162,1.0000
19539776949835,149.651,51.045,1.0000
19539811055252,149.047,50.852,1.0000
19539837818533,148.355,50.604,1.0000
19539871707335,148.041,50.476,1.0000
19539914716085,147.813,50.383,1.0000
19539939268377,147.683,50.333,1.0000
19539988464523,147.601,50.298,1.0000
19540011711190,147.573,50.291,1.0000
19540046864887,147.611,50.302,1.0000
19540083543117,147.680,50.319,1.0000
19540107571033,147.684,50.332,1.0000
19540146058012,147.687,50.328,1.0000
19540184583846,147.700,50.339,1.0000
19540220126085,147.802,50.376,1.0000
19540242167231,147.958,50.432,1.0000
19540290190044,148.091,50.484,1.0000
19540318284314,148.231,50.539,1.0000
19540351766762,148.361,50.587,1.0000
19540378971762,148.516,50.649,1.0000
19540411409887,148.620,50.694,1.0000
19540448837960,148.740,50.747,1.0000
19540478913169,148.876,50.794,1.0000
19540513155043,148.966,50.835,1.0000
19540554736866,149.121,50.880,1.0000
19540587485564,149.250,50.926,1.0000
19540610777179,149.400,50.977,1.0000
19540654605043,149.561,51.030,1.0000
19540687791814,149.709,51.081,1.0000
19540725846241,149.845,51.130,1.0000
19540761110043,149.973,51.173,1.0000
19540775901189,150.066,51.210,1.0000
19540817911085,149.834,51.133,1.0000
19540843093481,149.499,51.021,1.0000
