# PulseTrace recording
# session_id: 2026-05-10T03-02-53
# device: OnePlus CPH2449 (Android 36)
# started_at: 1778374973776
timestamp_ns,red,luma,coverage
19293016251648,173.960,57.923,1.0000
19293080180711,174.124,57.974,1.0000
19293091182273,174.268,58.014,1.0000
19293119659825,174.367,58.047,1.0000
19293156950450,174.517,58.086,1.0000
19293188914044,174.628,58.117,1.0000
19293224370867,174.740,58.153,1.0000
19293247908315,174.755,58.164,1.0000
19293292733054,174.421,58.062,1.0000
19293323778471,173.869,57.895,1.0000
19293367944200,173.251,57.705,1.0000
19293394967482,172.868,57.564,1.0000
19293421088888,172.609,57.474,1.0000
19293467290190,172.473,57.424,1.0000
19293484819929,172.337,57.383,1.0000
19293514035606,172.273,57.361,1.0000
19293626434304,172.334,57.385,1.0000
19293676884825,172.410,57.405,1.0000
19293696442169,172.523,57.442,1.0000
19293730095606,172.607,57.473,1.0000
19293767818211,172.740,57.510,1.0000
19293784794513,172.954,57.582,1.0000
19293831820450,173.117,57.639,1.0000
19293866211752,173.302,57.701,1.0000
19293884327585,173.482,57.761,1.0000
19293933929460,173.629,57.818,1.0000
19293964447794,173.796,57.874,1.0000
19293997740242,173.982,57.935,1.0000
19294033256700,174.148,57.980,1.0000
19294059001127,174.298,58.028,1.0000
19294097710919,174.443,58.080,1.0000
19294136529460,174.621,58.138,1.0000
19294171917585,174.809,58.193,1.0000
19294199663835,175.009,58.258,1.0000
19294221859252,175.196,58.324,1.0000
19294259542169,175.341,58.373,1.0000
19294301211908,175.150,58.315,1.0000
19294318933158,174.752,58.185,1.0000
19294354149304,174.203,57.998,1.0000
19294423892273,173.679,57.837,1.0000
19294431719825,173.264,57.706,1.0000
19294467231960,172.985,57.608,1.0000
19294499935606,172.783,57.532,1.0000
19294531834877,172.615,57.474,1.0000
19294569067950,172.521,57.440,1.0000
19294609028523,172.512,57.440,1.0000
19294642949669,172.530,57.449,1.0000
19294662064877,172.616,57.477,1.0000
19294689182741,172.658,57.492,1.0000
19294719297221,172.721,57.513,1.0000
19294770234981,172.798,57.533,1.0000
19294792957950,172.957,57.593,1.0000
19294839310033,173.075,57.636,1.0000
19294883281596,173.255,57.701,1.0000
19294901920762,173.404,57.752,1.0000
19294940503210,173.581,57.821,1.0000
19294960864148,173.724,57.865,1.0000
19295000533418,173.871,57.910,1.0000
19295032366231,174.049,57.975,1.0000
19295059488887,174.204,58.019,1.0000
19295087933418,174.376,58.072,1.0000
19295135479773,174.553,58.123,1.0000
19295161612845,174.770,58.185,1.0000
19295203801700,174.952,58.248,1.0000
19295232074147,175.141,58.315,1.0000
19295268731543,175.286,58.367,1.0000
19295300603783,175.416,58.415,1.0000
19295346720762,175.619,58.489,1.0000
19295367724356,175.776,58.550,1.0000
19295403120033,175.713,58.528,1.0000
19295436507741,175.267,58.381,1.0000
19295468578939,174.330,58.047,1.0000
19295499452116,173.663,57.830,1.0000
19295534629668,173.321,57.733,1.0000
19295573910554,172.938,57.591,1.0000
19295603093731,172.688,57.505,1.0000
19295630996231,172.459,57.440,1.0000
19295667714564,172.375,57.412,1.0000
19295703372168,172.371,57.403,1.0000
19295729948939,172.367,57.408,1.0000
19295777451647,172.372,57.410,1.0000
19295802102741,172.362,57.407,1.0000
19295831453939,172.349,57.398,1.0000
19295875659876,172.324,57.390,1.0000
19295905940137,172.414,57.415,1.0000
19295943680241,172.526,57.457,1.0000
19295983296022,172.669,57.506,1.0000
19296008422428,172.844,57.556,1.0000
19296037821178,172.981,57.609,1.0000
19296072681126,173.137,57.661,1.0000
19296106971855,173.236,57.698,1.0000
19296147379616,173.347,57.733,1.0000
19296172968991,173.479,57.774,1.0000
19296201151439,173.594,57.817,1.0000
19296249064460,173.703,57.854,1.0000
19296275195449,173.832,57.895,1.0000
19296318586907,173.971,57.942,1.0000
19296342127793,174.103,57.981,1.0000
19296377784199,174.279,58.039,1.0000
19296413955866,174.434,58.086,1.0000
19296434343574,174.458,58.094,1.0000
19296473249147,174.097,57.988,1.0000
19296507545241,173.477,57.799,1.0000
19296537598730,172.947,57.618,1.0000
19296588324876,172.575,57.488,1.0000
19296604826595,172.314,57.403,1.0000
19296641503730,172.131,57.340,1.0000
19296704209511,172.010,57.297,1.0000
19296716871074,171.936,57.277,1.0000
19296747228053,171.962,57.283,1.0000
19296784204564,172.026,57.299,1.0000
19296820568209,172.095,57.328,1.0000
19296853348157,172.100,57.328,1.0000
19296875163939,172.206,57.355,1.0000
19296906702845,172.285,57.387,1.0000
19296935544824,172.437,57.428,1.0000
19296980110241,172.623,57.484,1.0000
19297009022741,172.797,57.544,1.0000
19297048398626,173.029,57.623,1.0000
19297077540188,173.227,57.690,1.0000
19297110283053,173.400,57.750,1.0000
19297171220501,173.544,57.802,1.0000
19297175978313,173.714,57.862,1.0000
19297214373053,173.816,57.899,1.0000
19297252618470,173.942,57.941,1.0000
19297282311230,174.113,57.989,1.0000
19297300377011,174.275,58.040,1.0000
19297343473782,174.445,58.091,1.0000
19297375623990,174.616,58.142,1.0000
19297423863678,174.800,58.206,1.0000
19297451586178,174.958,58.250,1.0000
19297485570813,175.029,58.277,1.0000
19297528954199,174.739,58.191,1.0000
19297550797011,174.196,58.018,1.0000
19297579696074,173.484,57.792,1.0000
19297627908053,173.009,57.636,1.0000
19297639474876,172.683,57.522,1.0000
19297675632636,172.419,57.436,1.0000
19297715200813,172.169,57.358,1.0000
19297744279459,171.965,57.289,1.0000
19297783835136,171.909,57.269,1.0000
19297813278834,171.931,57.275,1.0000
19297844154980,171.957,57.286,1.0000
19297892703886,171.999,57.302,1.0000
