# PulseTrace recording
# session_id: 2026-05-09T16-21-31
# device: OnePlus CPH2449 (Android 36)
# started_at: 1778336491273
timestamp_ns,red,luma,coverage
166562762118178,188.524,75.527,1.0000
166562768123283,188.362,75.394,1.0000
166562806075887,188.193,75.331,1.0000
166562861956460,188.147,75.320,1.0000
166562867584428,188.102,75.291,1.0000
166562909177553,188.078,75.261,1.0000
166562943657345,187.978,75.141,1.0000
166562967959689,187.889,75.074,1.0000
166563001311512,187.826,75.048,1.0000
166563039719272,187.752,74.974,1.0000
166563061914585,187.651,74.881,1.0000
166563097991355,187.568,74.812,1.0000
166563130995157,187.479,74.727,1.0000
166563160863126,187.361,74.686,1.0000
166563203722137,187.337,74.705,1.0000
166563234997449,187.300,74.695,1.0000
166563262438959,187.313,74.705,1.0000
166563307340262,187.315,74.719,1.0000
166563338665991,187.299,74.725,1.0000
166563365314949,187.287,74.737,1.0000
166563409783907,187.313,74.749,1.0000
166563429719376,187.302,74.750,1.0000
166563468118439,187.262,74.674,1.0000
166563504360834,187.108,74.584,1.0000
166563531885157,186.885,74.447,1.0000
166563571126355,186.750,74.403,1.0000
166563599194897,186.656,74.353,1.0000
166563629855157,186.551,74.255,1.0000
166563671231043,186.516,74.283,1.0000
166563703774845,186.539,74.331,1.0000
166563732825313,186.565,74.344,1.0000
166563782132501,186.535,74.326,1.0000
166563805732449,186.533,74.270,1.0000
166563837141199,186.462,74.222,1.0000
166563886681980,186.421,74.186,1.0000
166563898576980,186.344,74.116,1.0000
166563927548959,186.257,74.041,1.0000
166563984943803,186.184,74.004,1.0000
166563998834845,186.037,73.957,1.0000
166564031296095,185.992,73.916,1.0000
166564080587240,185.909,73.848,1.0000
166564097496980,185.835,73.805,1.0000
166564136956876,185.789,73.780,1.0000
166564175950938,185.759,73.779,1.0000
166564206391511,185.745,73.794,1.0000
166564235544063,185.739,73.815,1.0000
166564282053230,185.668,73.791,1.0000
166564299120782,185.521,73.680,1.0000
166564318798959,185.349,73.588,1.0000
166564362811615,185.238,73.554,1.0000
166564400379688,185.194,73.565,1.0000
166564430061199,185.123,73.524,1.0000
166564475320313,185.159,73.538,1.0000
166564506526824,185.229,73.635,1.0000
166564525721407,185.298,73.679,1.0000
166564570270990,185.369,73.737,1.0000
166564604228438,185.389,73.715,1.0000
166564629095521,185.394,73.721,1.0000
166564676717449,185.393,73.747,1.0000
166564700966199,185.385,73.726,1.0000
166564729054428,185.365,73.707,1.0000
166564779323490,185.364,73.737,1.0000
166564813307813,185.382,73.755,1.0000
166564820802240,185.401,73.763,1.0000
166564857213230,185.383,73.752,1.0000
166564887466355,185.359,73.735,1.0000
166564938149948,185.355,73.734,1.0000
166564975044532,185.386,73.773,1.0000
166564992630625,185.368,73.774,1.0000
166565035855105,185.221,73.628,1.0000
166565076824844,184.986,73.489,1.0000
166565103579115,184.829,73.447,1.0000
166565138771823,184.761,73.451,1.0000
166565175781511,184.632,73.346,1.0000
166565213127552,184.511,73.272,1.0000
166565237048959,184.476,73.287,1.0000
166565273130052,184.464,73.291,1.0000
166565305094740,184.471,73.319,1.0000
166565338399167,184.499,73.364,1.0000
166565356154115,184.544,73.419,1.0000
166565390486042,184.529,73.391,1.0000
166565436861927,184.559,73.417,1.0000
166565467130677,184.611,73.433,1.0000
166565502986042,184.592,73.385,1.0000
166565538547813,184.532,73.347,1.0000
166565572659115,184.508,73.331,1.0000
166565602931406,184.394,73.257,1.0000
166565646084792,184.354,73.230,1.0000
166565659956511,184.315,73.229,1.0000
166565688963646,184.301,73.219,1.0000
166565741141615,184.256,73.181,1.0000
166565761151198,184.206,73.147,1.0000
166565802088750,184.109,73.111,1.0000
166565858658594,184.001,73.090,1.0000
166565870391250,183.869,73.008,1.0000
166565898662396,183.766,72.968,1.0000
166565951157969,183.659,72.882,1.0000
166565966087136,183.595,72.860,1.0000
166565999351354,183.561,72.881,1.0000
166566034429427,183.539,72.786,1.0000
166566065444896,183.585,72.838,1.0000
166566087703802,183.714,73.054,1.0000
166566133332240,183.845,73.173,1.0000
166566159415938,183.923,73.195,1.0000
166566201110417,183.926,73.150,1.0000
166566234768125,183.907,73.119,1.0000
166566268204740,183.881,73.088,1.0000
166566304533958,183.821,73.019,1.0000
166566341459219,183.784,72.992,1.0000
166566370131458,183.752,73.032,1.0000
166566401796615,183.847,73.146,1.0000
166566439478073,183.954,73.250,1.0000
166566468294479,184.019,73.271,1.0000
166566504370573,184.061,73.275,1.0000
166566534883125,184.109,73.264,1.0000
166566555725000,184.124,73.290,1.0000
166566601742656,184.012,73.216,1.0000
166566628945260,183.863,73.131,1.0000
166566670225417,183.731,73.103,1.0000
166566700957031,183.619,73.045,1.0000
166566741246406,183.455,72.886,1.0000
166566775860104,183.363,72.866,1.0000
166566804143646,183.324,72.877,1.0000
166566837689739,183.251,72.742,1.0000
166566892762239,183.311,72.874,1.0000
166566906529583,183.324,72.876,1.0000
166566923086614,183.328,72.867,1.0000
166566953762812,183.304,72.869,1.0000
166567009364218,183.301,72.871,1.0000
166567027809791,183.320,72.892,1.0000
166567059989166,183.334,72.877,1.0000
166567104547604,183.312,72.866,1.0000
166567122151927,183.265,72.817,1.0000
166567158810833,183.249,72.779,1.0000
166567203875364,183.129,72.676,1.0000
166567232983750,182.993,72.556,1.0000
166567260794687,182.923,72.551,1.0000
166567306740364,182.817,72.434,1.0000
166567334580833,182.788,72.403,1.0000
166567359995937,182.756,72.395,1.0000
166567411090000,182.752,72.415,1.0000
166567436374218,182.715,72.412,1.0000
166567458120260,182.581,72.316,1.0000
166567523615520,182.428,72.231,1.0000
166567529603125,182.250,72.149,1.0000
166567574332656,182.150,72.094,1.0000
166567605400260,182.051,72.070,1.0000
166567636662604,182.036,72.085,1.0000
166567673369583,181.993,72.040,1.0000
166567707083802,182.017,72.066,1.0000
166567738372187,182.068,72.122,1.0000
166567769485833,182.018,72.035,1.0000
166567795439531,181.991,72.018,1.0000
166567838617395,181.951,71.947,1.0000
166567869891510,181.826,71.902,1.0000
166567904814843,181.842,71.946,1.0000
166567925580885,181.845,71.943,1.0000
166567967163124,181.812,71.907,1.0000
166568003380051,181.778,71.896,1.0000
166568029108593,181.753,71.859,1.0000
166568070488906,181.691,71.821,1.0000
166568106355312,181.684,71.855,1.0000
166568140506614,181.734,71.900,1.0000
166568169769114,181.744,71.918,1.0000
166568202639166,181.771,71.957,1.0000
166568217970989,181.768,71.952,1.0000
166568263060728,181.752,71.964,1.0000
166568293098489,181.718,71.985,1.0000
166568324868124,181.621,71.905,1.0000
166568371512708,181.517,71.836,1.0000
166568399268437,181.512,71.887,1.0000
166568421667030,181.542,71.921,1.0000
166568477474218,181.586,71.964,1.0000
166568497836457,181.643,72.024,1.0000
166568519101405,181.699,72.054,1.0000
166568576800572,181.729,72.080,1.0000
166568590601405,181.825,72.144,1.0000
166568627328489,181.840,72.161,1.0000
166568673161301,181.852,72.195,1.0000
166568696934114,181.890,72.210,1.0000
166568725528749,181.894,72.200,1.0000
166568778651145,181.905,72.197,1.0000
166568799323124,181.903,72.225,1.0000
166568824943332,181.918,72.257,1.0000
166568889540259,181.960,72.321,1.0000
166568903753905,181.999,72.356,1.0000
166568939399999,182.061,72.392,1.0000
166568960178020,182.102,72.446,1.0000
166569007322759,182.141,72.432,1.0000
166569027712916,182.144,72.441,1.0000
166569059649478,182.087,72.396,1.0000
