# PulseTrace recording
# session_id: 2026-05-10T13-19-33
# device: OnePlus CPH2449 (Android 36)
# started_at: 1778411973129
timestamp_ns,red,luma,coverage
4643001042810,220.331,78.608,1.0000
4643015008800,220.358,78.623,1.0000
4643031910414,220.387,78.636,1.0000
4643048413904,220.417,78.648,1.0000
4643069174321,220.464,78.657,1.0000
4643101668539,220.527,78.693,1.0000
4643117997237,220.598,78.721,1.0000
4643135578175,220.613,78.721,1.0000
4643154258435,220.657,78.751,1.0000
4643172135675,220.719,78.762,1.0000
4643196323227,220.757,78.782,1.0000
4643215913956,220.790,78.818,1.0000
4643235818539,220.830,78.836,1.0000
4643254779737,220.893,78.869,1.0000
4643268101716,220.943,78.894,1.0000
4643299033071,220.976,78.914,1.0000
4643315213539,221.010,78.953,1.0000
4643333464477,221.069,78.989,1.0000
4643351880258,221.120,79.002,1.0000
4643372345518,221.178,79.038,1.0000
4643417849060,221.182,79.033,1.0000
4643420659789,221.154,79.025,1.0000
4643438070414,221.087,79.000,1.0000
4643456658748,220.982,78.965,1.0000
4643479588539,220.859,78.907,1.0000
4643506246456,220.746,78.852,1.0000
4643520157081,220.638,78.811,1.0000
4643537301195,220.536,78.750,1.0000
4643557410831,220.484,78.731,1.0000
4643578228852,220.478,78.696,1.0000
4643601061352,220.445,78.679,1.0000
4643617088383,220.407,78.665,1.0000
4643637263695,220.375,78.668,1.0000
4643659075883,220.329,78.645,1.0000
4643682357706,220.292,78.605,1.0000
4643706427445,220.281,78.597,1.0000
4643727191247,220.278,78.584,1.0000
4643740277602,220.280,78.587,1.0000
4643763827914,220.285,78.575,1.0000
4643782184685,220.287,78.559,1.0000
4643805788747,220.283,78.551,1.0000
4643826315987,220.289,78.556,1.0000
4643843828331,220.314,78.566,1.0000
4643865959737,220.306,78.567,1.0000
4643874512393,220.316,78.556,1.0000
4643899263122,220.292,78.538,1.0000
4643931241299,220.308,78.542,1.0000
4643946500414,220.345,78.559,1.0000
4643973096872,220.397,78.573,1.0000
4643990630206,220.432,78.595,1.0000
4644014410726,220.471,78.603,1.0000
4644038060570,220.471,78.614,1.0000
4644049781872,220.522,78.633,1.0000
4644065847862,220.573,78.666,1.0000
4644086530831,220.603,78.681,1.0000
4644115416039,220.648,78.701,1.0000
4644134967133,220.662,78.699,1.0000
4644150009112,220.693,78.739,1.0000
4644181894268,220.735,78.764,1.0000
4644190395362,220.765,78.781,1.0000
4644207656716,220.819,78.783,1.0000
4644236579581,220.822,78.779,1.0000
4644255729268,220.846,78.797,1.0000
4644268529997,220.855,78.813,1.0000
4644301268487,220.928,78.838,1.0000
4644308426039,220.940,78.852,1.0000
4644332897966,220.971,78.861,1.0000
4644355307706,220.992,78.875,1.0000
4644380700362,221.021,78.873,1.0000
4644397427393,221.077,78.897,1.0000
4644407089893,221.117,78.911,1.0000
4644426476924,221.134,78.931,1.0000
4644454965101,221.182,78.940,1.0000
4644473983070,221.237,78.969,1.0000
4644508504216,221.269,78.980,1.0000
4644520249216,221.303,79.008,1.0000
4644537586247,221.249,78.980,1.0000
4644554833435,221.149,78.957,1.0000
